	
# 070306: svoboda.mit (Debian Sarge, 2 1.8Ghz Athlon 2200 cpus) gcc 4.2 -O2
# 070522: svoboda.mit (Debian Sarge, 2 1.8Ghz Athlon 2200 cpus) gcc 4.2 -O2
# Comparison of intrinsic S-Lang functions with vectorized
# and OpenMP-parallelized implementations generated by SLIRP.
# Set OMP_NUM_THREADS=<n> on Solaris & possibly multicore systems.
# OMP_NUM_THREADS=<NULL>
	 
# Array Sizes	     sin       psin	     cos       pcos	     log       plog	hypot              phypot
     250	0.000018   0.000026	0.000019   0.000028	0.000032   0.000043	1.725e-05       2.525e-05
     500	0.000032   0.000047	0.000033   0.000048	0.000062   0.000062	3.450e-05       3.762e-05
    1000	0.000062   0.000063	0.000062   0.000062	0.000122   0.000092	6.225e-05       5.875e-05
    3000	0.000179   0.000126	0.000178   0.000127	0.000358   0.000220	1.770e-04       1.064e-04
    5000	0.000288   0.000190	0.000292   0.000193	0.000598   0.000350	2.897e-04       1.558e-04
   10000	0.000583   0.000349	0.000584   0.000346	0.001197   0.000659	5.701e-04       2.759e-04
   20000	0.001538   0.000958	0.001564   0.000962	0.002745   0.001556	1.575e-03       8.095e-04
   50000	0.003673   0.002251	0.003727   0.002255	0.006668   0.003737	3.729e-03       1.967e-03
  300000	0.021535   0.012724	0.021882   0.012786	0.039547   0.021529	2.172e-02       1.099e-02
  700000	0.049911   0.029470	0.050719   0.029530	0.092123   0.050061	5.050e-02       2.542e-02
 3000000	0.212931   0.124498	0.216055   0.124941	0.393561   0.212657	2.149e-01       1.053e-01
10000000	0.711330   0.416845	0.722731   0.418740	1.314333   0.710014	7.164e-01       3.572e-01
20000000	1.424513   0.831854	1.445183   0.834073	2.627050   1.417928	1.446e+00       7.025e-01
