
# 070306: svoboda.mit (Debian Sarge, 2 1.8Ghz Athlon 2200 cpus) gcc 4.2 -O2
# Comparison of intrinsic S-Lang functions with vectorized
# and OpenMP-parallelized implementations generated by SLIRP.
# Set OMP_NUM_THREADS=<n> on Solaris & possibly multicore systems.
# OMP_NUM_THREADS=<NULL>

# Array Sizes	     sin       psin	     cos       pcos	     log       plog	    fabs      pfabs	    sqrt      psqrt	  sum_cs    psum_cs	  strlen    pstrlen	
     250	0.000018   0.000026	0.000019   0.000028	0.000032   0.000043	0.000003   0.000014	0.000007   0.000017	0.000037   0.000059	0.000082   0.000017	
     500	0.000032   0.000047	0.000033   0.000048	0.000062   0.000062	0.000008   0.000036	0.000015   0.000039	0.000070   0.000104	0.000223   0.000057	
    1000	0.000062   0.000063	0.000062   0.000062	0.000122   0.000092	0.000012   0.000042	0.000026   0.000044	0.000135   0.000146	0.000458   0.000082	
    3000	0.000179   0.000126	0.000178   0.000127	0.000358   0.000220	0.000031   0.000066	0.000074   0.000073	0.000390   0.000307	0.001499   0.000180	
    5000	0.000288   0.000190	0.000292   0.000193	0.000598   0.000350	0.000049   0.000090	0.000120   0.000102	0.000650   0.000475	0.002583   0.000287	
   10000	0.000583   0.000349	0.000584   0.000346	0.001197   0.000659	0.000099   0.000147	0.000237   0.000172	0.001365   0.001009	0.005827   0.000558	
   20000	0.001538   0.000958	0.001564   0.000962	0.002745   0.001556	0.000716   0.000556	0.000842   0.000614	0.003527   0.002355	0.013761   0.001009	
   50000	0.003673   0.002251	0.003727   0.002255	0.006668   0.003737	0.001905   0.001427	0.002103   0.001489	0.008852   0.005854	0.052256   0.002589	
  300000	0.021535   0.012724	0.021882   0.012786	0.039547   0.021529	0.011359   0.008604	0.012186   0.008788	0.051271   0.033386	1.248426   0.014540	
  700000	0.049911   0.029470	0.050719   0.029530	0.092123   0.050061	0.025362   0.019555	0.028991   0.020114	0.117936   0.076093	0.000000   0.000000	
 3000000	0.212931   0.124498	0.216055   0.124941	0.393561   0.212657	0.112526   0.085727	0.120766   0.086956	0.512160   0.329442	0.000000   0.000000	
10000000	0.711330   0.416845	0.722731   0.418740	1.314333   0.710014	0.380525   0.292341	0.406071   0.296631	1.714680   1.104462	0.000000   0.000000	
20000000	1.424513   0.831854	1.445183   0.834073	2.627050   1.417928	0.762932   0.583514	0.811809   0.590134	3.406484   2.200236	0.000000   0.000000	
