# 070306: tdc.cfa (4-8 750Mhz sparcv9 cpus, Sol 5.9) SUNWspro9.0 cc -xopenmp
# 070524: tdc.cfa (4-8 750Mhz sparcv9 cpus, Sol 5.9) SUNWspro9.0 cc -xopenmp
# Comparison of intrinsic S-Lang functions with vectorized
# and OpenMP-parallelized implementations generated by SLIRP.
# Set OMP_NUM_THREADS=<n> on Solaris & possibly multicore systems.
# OMP_NUM_THREADS=<4>

# Array Sizes	     sin       psin	     cos       pcos	     log       plog	hypot		phypot
     250	0.000120   0.000047	0.000120   0.000046	0.000069   0.000033	1.600e-04       5.584e-02
     500	0.000234   0.000075	0.000231   0.000073	0.000131   0.000050	1.840e-04       1.438e-01
    1000	0.000466   0.000131	0.000451   0.000129	0.000254   0.000082     3.670e-04       2.140e-04
    3000	0.001364   0.000353	0.001349   0.000350	0.000742   0.000211	1.172e-03       4.220e-04
    5000	0.002254   0.000584	0.002238   0.000568	0.001229   0.000338	1.941e-03       6.360e-04
   10000	0.004519   0.001134	0.004323   0.001140	0.002453   0.000663	3.828e-03       1.155e-03
   20000	0.008962   0.002252	0.008952   0.002265	0.004932   0.001328	7.632e-03       2.220e-03
   50000	0.022580   0.005911	0.022419   0.005926	0.012577   0.003524	1.846e-02       5.381e-03
  300000	0.136049   0.034109	0.135212   0.034561	0.074274   0.024909	1.097e-01       2.996e-02
  700000	0.315226   0.078821	0.312387   0.078219	0.172055   0.046103	2.573e-01       6.966e-02
 3000000	1.441406   0.353914	1.439052   0.367681	0.836072   0.215648	1.775e+00       6.367e-01
10000000	4.565636   1.125250	4.540223   1.117054	2.564625   0.656201	4.495e+00       1.190e+00
20000000	9.138189   2.274909	9.084279   2.237035	5.119333   1.318259	1.072e+01       3.126e+00
