# 070306: tdc.cfa (4-8 750Mhz sparcv9 cpus, Sol 5.9) SUNWspro9.0 cc -xopenmp
# Comparison of intrinsic S-Lang functions with vectorized
# and OpenMP-parallelized implementations generated by SLIRP.
# Set OMP_NUM_THREADS=<n> on Solaris & possibly multicore systems.
# OMP_NUM_THREADS=<4>

# Array Sizes	     sin       psin	     cos       pcos	     log       plog	    fabs      pfabs	    sqrt      psqrt	  sum_cs    psum_cs	  strlen    pstrlen	
      20	0.000020   0.000022	0.000019   0.000021	0.000015   0.000019	0.000013   0.000020	0.000011   0.000026	0.000037   0.000046	0.000039   0.000022	
     250	0.000120   0.000047	0.000120   0.000046	0.000069   0.000033	0.000032   0.000024	0.000032   0.000025	0.000237   0.000110	0.000353   0.000036	
     500	0.000234   0.000075	0.000231   0.000073	0.000131   0.000050	0.000053   0.000030	0.000055   0.000031	0.000455   0.000191	0.000677   0.000052	
    1000	0.000466   0.000131	0.000451   0.000129	0.000254   0.000082	0.000096   0.000041	0.000100   0.000045	0.000891   0.000333	0.001537   0.000084	
    3000	0.001364   0.000353	0.001349   0.000350	0.000742   0.000211	0.000266   0.000096	0.000282   0.000099	0.002654   0.000909	0.005072   0.000218	
    5000	0.002254   0.000584	0.002238   0.000568	0.001229   0.000338	0.000436   0.000134	0.000469   0.000154	0.004411   0.001465	0.008447   0.000337	
   10000	0.004519   0.001134	0.004323   0.001140	0.002453   0.000663	0.000867   0.000252	0.000931   0.000287	0.008829   0.002902	0.017031   0.000665	
   20000	0.008962   0.002252	0.008952   0.002265	0.004932   0.001328	0.001845   0.000478	0.001876   0.000570	0.017622   0.005828	0.034455   0.001309	
   50000	0.022580   0.005911	0.022419   0.005926	0.012577   0.003524	0.004501   0.001430	0.005140   0.001548	0.044638   0.014884	0.090386   0.003138	
  300000	0.136049   0.034109	0.135212   0.034561	0.074274   0.024909	0.026160   0.007639	0.028706   0.008499	0.266752   0.087615	1.157251   0.020457	
  700000	0.315226   0.078821	0.312387   0.078219	0.172055   0.046103	0.060686   0.017234	0.066595   0.019773	0.702269   0.202909	0.000000   0.000000	
 3000000	1.441406   0.353914	1.439052   0.367681	0.836072   0.215648	0.360147   0.090072	0.321487   0.086574	3.094741   0.938840	0.000000   0.000000	
10000000	4.565636   1.125250	4.540223   1.117054	2.564625   0.656201	0.961144   0.247132	1.036435   0.291418	10.083559   3.035872	0.000000   0.000000	
20000000	9.138189   2.274909	9.084279   2.237035	5.119333   1.318259	1.897899   0.496009	2.067215   0.577398	20.086646   6.053601	0.000000   0.000000	
